,Datetime,Tweet ID,Tweet text
0,2021-05-01 14:54:22+00:00,1388507090767974402,@JeaneFahrlander It’s hard to believe how similar the landscape is from my house in KY  to Atlanta. Have yourself a great day Jeane !!!
1,2021-05-01 14:54:22+00:00,1388507090403139593,"@MadMikeOfficial Lol...So close.
Couldn't Stand the Weather and then Texas Flood."
2,2021-05-01 14:54:16+00:00,1388507065266606086,@SheepridgeLee Up the flood lights? Great view however! #UTFT
3,2021-05-01 14:53:59+00:00,1388506995007819777,@mattgaetz No surprise from the people who willfully let China flood the US with fentanyl that kills thousands of Americans every year.
4,2021-05-01 14:53:44+00:00,1388506930948227078,"Because of the global, lumber industry of mass  deforestation(trees are the lungs), since inception &amp; NOT replenishing what they've taken is/has caused extinction of species, whose habitats destroyed, mass floods, heatwave &amp; storms as trees no longer in abundance to absorb CO2. https://t.co/4rFaIR1lta"
5,2021-05-01 14:53:41+00:00,1388506919728463872,Random 40 year old men arguing outside MSG about if we should go with Coan or Pyne at QB1? Irish are so back
6,2021-05-01 14:53:37+00:00,1388506903932715020,"@SecVetAffairs 

Matthew 6:26-27

And every1 who hears these words of mine &amp; does not do them will b like a foolish man who built his house on the sand. And the rain fell, &amp; the floods came, &amp; the winds blew &amp; beat against that house, and it fell, and great was the fall of it.”"
7,2021-05-01 14:53:32+00:00,1388506881522556930,"@TheLastWord Flood his email, tell him the people already voted by electing Joe Biden! https://t.co/QWt9717lkZ"
8,2021-05-01 14:53:25+00:00,1388506853848588294,Flood of Liquidity Is Sweetening Retirement for Stock Owners and Home Sellers https://t.co/Dy7IlCrP7L
9,2021-05-01 14:53:19+00:00,1388506826409496576,@pulte Good morning!
10,2021-05-01 14:53:08+00:00,1388506782092439552,Meadow Street Coventry flood protection and trash screen monitoring https://t.co/LHCu2s5PZC
11,2021-05-01 14:53:07+00:00,1388506777977856002,@DeMcbot @raiphsays I couldnae cope wi that !!! The golf course near us has a big that floods under the turf but it’s no as bad as that !
12,2021-05-01 14:53:00+00:00,1388506746096922630,"Flood insurance is available for both renters and homeowners but it is not part of a standard home or renters insurance policy.

There are two types of Flood Insurance, one is from the federal government and the other is from private insurance companies.

https://t.co/R4dIcG7BnX https://t.co/Ajela6ULiE"
13,2021-05-01 14:52:57+00:00,1388506736206745603,I'm about to flood the tl with fancams so mute me now!
14,2021-05-01 14:52:47+00:00,1388506692506300422,"@USBPChiefYUM @aintnobarbie My tire man is from Honduras, his entire family on the way he told me... sweet Jesus Biden has open the flood gates. Rudy Giuliani is just a distraction from the press......"
15,2021-05-01 14:52:45+00:00,1388506685023547399,didn’t it like.. flood some country in europe at some point cause a guy was overproducing in his basement
16,2021-05-01 14:52:42+00:00,1388506670725206025,"@paultervit @ryancapperauld The point is, there's a deadly virus. No point in opening flood gates, causing another spike and further lockdowns. 50 at a wedding, THEN 1000s through a spoons chugging 20 pts and a plate of chips🤷‍♀️"
17,2021-05-01 14:52:09+00:00,1388506534733303808,@OSGCorporation Does this threadmill require through spindle coolant or can it work with flood coolant?
